jurisdiction,title,match_text,date,file_link
Santa Ana,2021-030 - Adopting the 2020 Urban Water Managment Plan,2021-030 - Adopting the 2020 Urban Water Managment Plan,2021-06-04,https://publicdocs.santa-ana.org/WebLink/1/doc/127515/Page1.aspx
Santa Ana,2021-031 - Adopting the 2020 Water Shortage Contingency Plan,2021-031 - Adopting the 2020 Water Shortage Contingency Plan,2021-06-04,https://publicdocs.santa-ana.org/WebLink/1/doc/127516/Page1.aspx
Santa Ana,2021-032 - 2015 Urban Water Management Plan,2021-032 - 2015 Urban Water Management Plan,2021-06-04,https://publicdocs.santa-ana.org/WebLink/1/doc/127517/Page1.aspx
Santa Ana,2021-033 - Amend Resolution No. 2015-026,2021-033 - Amend Resolution No. 2015-026,2021-06-07,https://publicdocs.santa-ana.org/WebLink/1/doc/127536/Page1.aspx
Santa Ana,2021-034 - The State of California Department of Housing and Community Development,2021-034 - The State of California Department of Housing and Community Development,2021-06-17,https://publicdocs.santa-ana.org/WebLink/1/doc/127685/Page1.aspx
Santa Ana,"2021-035 - Approving Revised Bylaws for the Parks, Recreation, and Community Services","2021-035 - Approving Revised Bylaws for the Parks, Recreation, and Community Services",2021-06-17,https://publicdocs.santa-ana.org/WebLink/1/doc/127686/Page1.aspx
Santa Ana,2021-036 - Approving Revised Bylaws for the Youth Commission,2021-036 - Approving Revised Bylaws for the Youth Commission,2021-06-17,https://publicdocs.santa-ana.org/WebLink/1/doc/127687/Page1.aspx
Santa Ana,2021-037 - Establishing the Appropriation Limit Fiscal Year 2021-2022,2021-037 - Establishing the Appropriation Limit Fiscal Year 2021-2022,2021-06-17,https://publicdocs.santa-ana.org/WebLink/1/doc/127684/Page1.aspx
Santa Ana,2021-038 - 2020 Emergency Management Performance Grant Funds,2021-038 - 2020 Emergency Management Performance Grant Funds,2021-07-08,https://publicdocs.santa-ana.org/WebLink/1/doc/127910/Page1.aspx
Santa Ana,2021-039 - Execute All Program Supplement Agreements,2021-039 - Execute All Program Supplement Agreements,2021-07-08,https://publicdocs.santa-ana.org/WebLink/1/doc/127911/Page1.aspx
Santa Ana,2021-040 - Execute a Subgrant Agreement,2021-040 - Execute a Subgrant Agreement,2021-07-26,https://publicdocs.santa-ana.org/WebLink/1/doc/128128/Page1.aspx
Santa Ana,2021-041 - Approving the Water Supply Assessment,2021-041 - Approving the Water Supply Assessment,2021-07-26,https://publicdocs.santa-ana.org/WebLink/1/doc/128127/Page1.aspx
Santa Ana,2021-042 - Declaring its Intention to Award A Soild Waste Franchise Agreement,2021-042 - Declaring its Intention to Award A Soild Waste Franchise Agreement,2021-07-26,https://publicdocs.santa-ana.org/WebLink/1/doc/128129/Page1.aspx
Santa Ana,2021-043 -Confirming the Costs of Securing And/Or Demolition of Varioues Structures,2021-043 -Confirming the Costs of Securing And/Or Demolition of Varioues Structures,2021-07-26,https://publicdocs.santa-ana.org/WebLink/1/doc/128130/Page1.aspx
Santa Ana,2021-044 - Approving the Santa Ana Public Library's Applicatoin,2021-044 - Approving the Santa Ana Public Library's Applicatoin,2021-08-18,https://publicdocs.santa-ana.org/WebLink/1/doc/128388/Page1.aspx
Santa Ana,2021-045 - Approving the Form of a Preliminary Official Statement,2021-045 - Approving the Form of a Preliminary Official Statement,2021-08-18,https://publicdocs.santa-ana.org/WebLink/1/doc/128389/Page1.aspx
Santa Ana,2021-046 - Approving An Exclusive Agreement for the Collection and Handling of Soild Waste,2021-046 - Approving An Exclusive Agreement for the Collection and Handling of Soild Waste,2021-11-04,https://publicdocs.santa-ana.org/WebLink/1/doc/129731/Page1.aspx
Santa Ana,2021-047 - Amending and Restating Resolution No. 2019-111,2021-047 - Amending and Restating Resolution No. 2019-111,2021-09-09,https://publicdocs.santa-ana.org/WebLink/1/doc/128563/Page1.aspx
Santa Ana,2021-048 - Supporting the Orange County Veternans Cemetery,2021-048 - Supporting the Orange County Veternans Cemetery,2021-09-09,https://publicdocs.santa-ana.org/WebLink/1/doc/128559/Page1.aspx
Santa Ana,2021-049 - Support Orange County Water District,2021-049 - Support Orange County Water District,2021-09-10,https://publicdocs.santa-ana.org/WebLink/1/doc/128576/Page1.aspx
Santa Ana,2021-050 - Declaring a Climate Emergency,2021-050 - Declaring a Climate Emergency,2021-09-09,https://publicdocs.santa-ana.org/WebLink/1/doc/128561/Page1.aspx
Santa Ana,2021-051 - Establishing the School Collaboration City Council Subcommittee,2021-051 - Establishing the School Collaboration City Council Subcommittee,2021-09-10,https://publicdocs.santa-ana.org/WebLink/1/doc/128575/Page1.aspx
Santa Ana,2021-052 - The Acquisition of Certain Real Property,2021-052 - The Acquisition of Certain Real Property,2021-09-09,https://publicdocs.santa-ana.org/WebLink/1/doc/128558/Page1.aspx
Santa Ana,2021-053 - Declaring its Intention to Consider Changes to Boundary Lines of Wards,2021-053 - Declaring its Intention to Consider Changes to Boundary Lines of Wards,2021-09-24,https://publicdocs.santa-ana.org/WebLink/1/doc/129152/Page1.aspx
Santa Ana,2021-054 - Directing Further Study of the Additional Regulatory Framwork,2021-054 - Directing Further Study of the Additional Regulatory Framwork,2021-09-24,https://publicdocs.santa-ana.org/WebLink/1/doc/129151/Page1.aspx
Santa Ana,2021-055 - California Authorizing Use of Remote Teleconferencing Provisions (AB 361),2021-055 - California Authorizing Use of Remote Teleconferencing Provisions (AB 361),2021-10-07,https://publicdocs.santa-ana.org/WebLink/1/doc/129379/Page1.aspx
Santa Ana,2021-056 - Approving the Athletic Facility Reservation Policy,2021-056 - Approving the Athletic Facility Reservation Policy,2021-10-11,https://publicdocs.santa-ana.org/WebLink/1/doc/129459/Page1.aspx
Santa Ana,2021-057 - Amend Current Fiscal Year 2021-2022 Annual Budget,2021-057 - Amend Current Fiscal Year 2021-2022 Annual Budget,2021-10-08,https://publicdocs.santa-ana.org/WebLink/1/doc/129439/Page1.aspx
Santa Ana,2021-058 - Amend Resolution No. 2015-026,2021-058 - Amend Resolution No. 2015-026,2021-10-08,https://publicdocs.santa-ana.org/WebLink/1/doc/129440/Page1.aspx
Santa Ana,2021-059 - Exception to the 180-Day Wait Period,2021-059 - Exception to the 180-Day Wait Period,2021-10-11,https://publicdocs.santa-ana.org/WebLink/1/doc/129460/Page1.aspx
Santa Ana,2021-060 - Amending and Restating Resolution No. 2021-053,2021-060 - Amending and Restating Resolution No. 2021-053,2021-10-22,https://publicdocs.santa-ana.org/WebLink/1/doc/129578/Page1.aspx
Santa Ana,2021-061 - Accepting the 2021 National Fitness Campaign Grant,2021-061 - Accepting the 2021 National Fitness Campaign Grant,2021-10-22,https://publicdocs.santa-ana.org/WebLink/1/doc/129579/Page1.aspx
Santa Ana,2021-062 - Denouncing Covid-19 Misinformation,2021-062 - Denouncing Covid-19 Misinformation,2021-10-22,https://publicdocs.santa-ana.org/WebLink/1/doc/129580/Page1.aspx
Santa Ana,2021-063 - Declaring Its Intention to Levy An Assessment for the Downtown Santa Ana,2021-063 - Declaring Its Intention to Levy An Assessment for the Downtown Santa Ana,2021-11-04,https://publicdocs.santa-ana.org/WebLink/1/doc/129725/Page1.aspx
Santa Ana,2021-064 - Authorizing an Application for Grant Funding Form the Bureau of Reclamation,2021-064 - Authorizing an Application for Grant Funding Form the Bureau of Reclamation,2021-11-04,https://publicdocs.santa-ana.org/WebLink/1/doc/129726/Page1.aspx
Santa Ana,2021-065 - Approving Revised Bylaws For the Environmental and Transportation Advisory Commission,2021-065 - Approving Revised Bylaws For the Environmental and Transportation Advisory Commission,2021-11-04,https://publicdocs.santa-ana.org/WebLink/1/doc/129727/Page1.aspx
Santa Ana,2021-066 - California Extending the Authorization Use of Remote Teleconferencing Provisions (AB 361),2021-066 - California Extending the Authorization Use of Remote Teleconferencing Provisions (AB 361),2021-11-04,https://publicdocs.santa-ana.org/WebLink/1/doc/129728/Page1.aspx
Santa Ana,2021-067 - Approving the Submittal of Improvement Projects,2021-067 - Approving the Submittal of Improvement Projects,2021-11-23,https://publicdocs.santa-ana.org/WebLink/1/doc/129909/Page1.aspx
Santa Ana,2021-068 - Approving the Submittal of Improvement Projects,2021-068 - Approving the Submittal of Improvement Projects,2021-11-23,https://publicdocs.santa-ana.org/WebLink/1/doc/129911/Page1.aspx
Santa Ana,2021-069 - Approving A Salary Adjustment for the City Manager Based on Employee Performance,2021-069 - Approving A Salary Adjustment for the City Manager Based on Employee Performance,2021-11-23,https://publicdocs.santa-ana.org/WebLink/1/doc/129907/Page1.aspx
Santa Ana,2021-070 - Amending Resolution No. 2019-111,2021-070 - Amending Resolution No. 2019-111,2021-11-23,https://publicdocs.santa-ana.org/WebLink/1/doc/129913/Page1.aspx
Santa Ana,2021-071 - Confirming the Costs and Expenditures Incurred by the City for Weed,2021-071 - Confirming the Costs and Expenditures Incurred by the City for Weed,2021-11-23,https://publicdocs.santa-ana.org/WebLink/1/doc/129905/Page1.aspx
Santa Ana,2021-072 - California Authorizing Use of Remote Teleconferencing Provisions (AB 361),2021-072 - California Authorizing Use of Remote Teleconferencing Provisions (AB 361),2021-12-08,https://publicdocs.santa-ana.org/WebLink/1/doc/130178/Page1.aspx
Santa Ana,2021-073 - Authorizing Participation in the State Rental Assistance Program,2021-073 - Authorizing Participation in the State Rental Assistance Program,2021-12-13,https://publicdocs.santa-ana.org/WebLink/1/doc/130196/Page1.aspx
Santa Ana,2021-074 - Authorizing the Project List Submittal for Coronavirus Response,2021-074 - Authorizing the Project List Submittal for Coronavirus Response,2021-12-13,https://publicdocs.santa-ana.org/WebLink/1/doc/130197/Page1.aspx
Santa Ana,2021-075 - Authorizing An Application for Grant Funding From the Bureau of Reclamations,2021-075 - Authorizing An Application for Grant Funding From the Bureau of Reclamations,2021-12-13,https://publicdocs.santa-ana.org/WebLink/1/doc/130198/Page1.aspx
Santa Ana,2021-076 - Concerning the Measure M2 Expenditure Report,2021-076 - Concerning the Measure M2 Expenditure Report,2021-12-13,https://publicdocs.santa-ana.org/WebLink/1/doc/130199/Page1.aspx
Santa Ana,2021-077 - Amending the City's Uniform Schedule of Miscellaneous Fees,2021-077 - Amending the City's Uniform Schedule of Miscellaneous Fees,2021-12-13,https://publicdocs.santa-ana.org/WebLink/1/doc/130202/Page1.aspx
Santa Ana,2021-078 - Authorizing the City Manager and the Chief of Police or Their Designee (s),2021-078 - Authorizing the City Manager and the Chief of Police or Their Designee (s),2021-12-13,https://publicdocs.santa-ana.org/WebLink/1/doc/130200/Page1.aspx
Santa Ana,2021-079 - Levying An Assessment for the Downtown Santa Ana Business Improvment,2021-079 - Levying An Assessment for the Downtown Santa Ana Business Improvment,2021-12-17,https://publicdocs.santa-ana.org/WebLink/1/doc/130263/Page1.aspx
Santa Ana,2021-080 - Designating Signatories Authorized for the Purpose of Withdrawal of Said Fund,2021-080 - Designating Signatories Authorized for the Purpose of Withdrawal of Said Fund,2021-12-23,https://publicdocs.santa-ana.org/WebLink/1/doc/130354/Page1.aspx
Santa Ana,2021-081 - Supporting Federal PFAS Legislation,2021-081 - Supporting Federal PFAS Legislation,2021-12-23,https://publicdocs.santa-ana.org/WebLink/1/doc/130353/Page1.aspx
Santa Ana,2021-082 - Resources to Fund the Projects in the 2022/23-2027-28,2021-082 - Resources to Fund the Projects in the 2022/23-2027-28,2021-12-23,https://publicdocs.santa-ana.org/WebLink/1/doc/130352/Page1.aspx
Santa Ana,2021-083 - Flower Street Well Project,2021-083 - Flower Street Well Project,2021-12-23,https://publicdocs.santa-ana.org/WebLink/1/doc/130351/Page1.aspx
Santa Ana,2021-084 - The Washington Avenue Well Project,2021-084 - The Washington Avenue Well Project,2021-12-23,https://publicdocs.santa-ana.org/WebLink/1/doc/130350/Page1.aspx
Santa Ana,2021-085 - The Well 29 Rehabilitation Improvement Project,2021-085 - The Well 29 Rehabilitation Improvement Project,2021-12-23,https://publicdocs.santa-ana.org/WebLink/1/doc/130349/Page1.aspx
