Official Name,Vote Outcome,File Number,Agenda Item Subject,Vote Date,Meeting Type,Overall Result,Link
Lynda Hopkins,Aye,2019-0756,"Miscellaneous Classification, Compensation, and Allocation Changes",2019-06-04,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4384
Susan Gorin,Aye,2019-0757,Association of California Water Agencies Nomination for Board Member 2020-2021,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4385
David Rabbitt,Aye,2019-0757,Association of California Water Agencies Nomination for Board Member 2020-2021,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4385
Shirlee Zane,Aye,2019-0757,Association of California Water Agencies Nomination for Board Member 2020-2021,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4385
James Gore,Aye,2019-0757,Association of California Water Agencies Nomination for Board Member 2020-2021,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4385
Lynda Hopkins,Aye,2019-0757,Association of California Water Agencies Nomination for Board Member 2020-2021,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4385
Susan Gorin,Aye,2019-0758,Housing and Disability Advocacy Program contract with InterFaith Shelter Network,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4386
David Rabbitt,Aye,2019-0758,Housing and Disability Advocacy Program contract with InterFaith Shelter Network,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4386
Shirlee Zane,Aye,2019-0758,Housing and Disability Advocacy Program contract with InterFaith Shelter Network,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4386
James Gore,Aye,2019-0758,Housing and Disability Advocacy Program contract with InterFaith Shelter Network,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4386
Lynda Hopkins,Aye,2019-0758,Housing and Disability Advocacy Program contract with InterFaith Shelter Network,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4386
Susan Gorin,Aye,2019-0759,"Appoint Peg Rogers to the Commission on the Status of Women for a two year term beginning on June 11, 2019 and ending on June 11, 2021. (Fifth District)",2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4387
David Rabbitt,Aye,2019-0759,"Appoint Peg Rogers to the Commission on the Status of Women for a two year term beginning on June 11, 2019 and ending on June 11, 2021. (Fifth District)",2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4387
Shirlee Zane,Aye,2019-0759,"Appoint Peg Rogers to the Commission on the Status of Women for a two year term beginning on June 11, 2019 and ending on June 11, 2021. (Fifth District)",2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4387
James Gore,Aye,2019-0759,"Appoint Peg Rogers to the Commission on the Status of Women for a two year term beginning on June 11, 2019 and ending on June 11, 2021. (Fifth District)",2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4387
Lynda Hopkins,Aye,2019-0759,"Appoint Peg Rogers to the Commission on the Status of Women for a two year term beginning on June 11, 2019 and ending on June 11, 2021. (Fifth District)",2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4387
Susan Gorin,Aye,2019-0760,2019 Sonoma County Combined Fund Drive,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4388
David Rabbitt,Aye,2019-0760,2019 Sonoma County Combined Fund Drive,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4388
Shirlee Zane,Aye,2019-0760,2019 Sonoma County Combined Fund Drive,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4388
James Gore,Aye,2019-0760,2019 Sonoma County Combined Fund Drive,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4388
Lynda Hopkins,Aye,2019-0760,2019 Sonoma County Combined Fund Drive,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4388
Susan Gorin,Aye,2019-0762,Agreement Amendments and Extensions,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4390
David Rabbitt,Aye,2019-0762,Agreement Amendments and Extensions,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4390
Shirlee Zane,Aye,2019-0762,Agreement Amendments and Extensions,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4390
James Gore,Aye,2019-0762,Agreement Amendments and Extensions,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4390
Lynda Hopkins,Recused,2019-0762,Agreement Amendments and Extensions,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4390
Susan Gorin,Aye,2019-0763,"Lease Amendment for Department of Health Services at 490 Mendocino Avenue, Santa Rosa",2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4391
David Rabbitt,Aye,2019-0763,"Lease Amendment for Department of Health Services at 490 Mendocino Avenue, Santa Rosa",2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4391
Shirlee Zane,Aye,2019-0763,"Lease Amendment for Department of Health Services at 490 Mendocino Avenue, Santa Rosa",2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4391
James Gore,Aye,2019-0763,"Lease Amendment for Department of Health Services at 490 Mendocino Avenue, Santa Rosa",2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4391
Lynda Hopkins,Aye,2019-0763,"Lease Amendment for Department of Health Services at 490 Mendocino Avenue, Santa Rosa",2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4391
Susan Gorin,Aye,2019-0766,"Approval of the Plans and Specifications and Award Contracts for the removal of burned trees resulting from the 2017 Sonoma Complex Fires:
A)	2019 Hazard Tree Removal Project - Public Trees, Phase 2 (County Project M11724)
B)	2019 Hazard Tree Removal Project - Public Trees, Phase 3 (County Project M11725)",2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4394
David Rabbitt,Aye,2019-0766,"Approval of the Plans and Specifications and Award Contracts for the removal of burned trees resulting from the 2017 Sonoma Complex Fires:
A)	2019 Hazard Tree Removal Project - Public Trees, Phase 2 (County Project M11724)
B)	2019 Hazard Tree Removal Project - Public Trees, Phase 3 (County Project M11725)",2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4394
Shirlee Zane,Aye,2019-0766,"Approval of the Plans and Specifications and Award Contracts for the removal of burned trees resulting from the 2017 Sonoma Complex Fires:
A)	2019 Hazard Tree Removal Project - Public Trees, Phase 2 (County Project M11724)
B)	2019 Hazard Tree Removal Project - Public Trees, Phase 3 (County Project M11725)",2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4394
James Gore,Aye,2019-0766,"Approval of the Plans and Specifications and Award Contracts for the removal of burned trees resulting from the 2017 Sonoma Complex Fires:
A)	2019 Hazard Tree Removal Project - Public Trees, Phase 2 (County Project M11724)
B)	2019 Hazard Tree Removal Project - Public Trees, Phase 3 (County Project M11725)",2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4394
