Official Name,Vote Outcome,File Number,Agenda Item Subject,Vote Date,Meeting Type,Overall Result,Link
David Rabbitt,Aye,2019-0974,"Permit and Resource Management Department:  Review and possible action on the following:
Acts and Determinations of Planning Commission/Board of Zoning Adjustments
Acts and Determinations of Project Review and Advisory Committee
Acts and Determinations of Design Review Committee
Acts and Determinations of Landmarks Commission
Administrative Determinations of the Director of Permit and Resource Management
(All materials related to these actions and determinations can be reviewed at:
http://sonomacounty.ca.gov/PRMD/Boards-Commissions-and-Committees/)",2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4602
Shirlee Zane,Absent,2019-0974,"Permit and Resource Management Department:  Review and possible action on the following:
Acts and Determinations of Planning Commission/Board of Zoning Adjustments
Acts and Determinations of Project Review and Advisory Committee
Acts and Determinations of Design Review Committee
Acts and Determinations of Landmarks Commission
Administrative Determinations of the Director of Permit and Resource Management
(All materials related to these actions and determinations can be reviewed at:
http://sonomacounty.ca.gov/PRMD/Boards-Commissions-and-Committees/)",2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4602
James Gore,Aye,2019-0974,"Permit and Resource Management Department:  Review and possible action on the following:
Acts and Determinations of Planning Commission/Board of Zoning Adjustments
Acts and Determinations of Project Review and Advisory Committee
Acts and Determinations of Design Review Committee
Acts and Determinations of Landmarks Commission
Administrative Determinations of the Director of Permit and Resource Management
(All materials related to these actions and determinations can be reviewed at:
http://sonomacounty.ca.gov/PRMD/Boards-Commissions-and-Committees/)",2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4602
Lynda Hopkins,Absent,2019-0974,"Permit and Resource Management Department:  Review and possible action on the following:
Acts and Determinations of Planning Commission/Board of Zoning Adjustments
Acts and Determinations of Project Review and Advisory Committee
Acts and Determinations of Design Review Committee
Acts and Determinations of Landmarks Commission
Administrative Determinations of the Director of Permit and Resource Management
(All materials related to these actions and determinations can be reviewed at:
http://sonomacounty.ca.gov/PRMD/Boards-Commissions-and-Committees/)",2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4602
Susan Gorin,Aye,2019-0975,Policies With Respect To Pesticides And Integrated Pest Management,2019-06-04,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4603
David Rabbitt,Aye,2019-0975,Policies With Respect To Pesticides And Integrated Pest Management,2019-06-04,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4603
Shirlee Zane,Aye,2019-0975,Policies With Respect To Pesticides And Integrated Pest Management,2019-06-04,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4603
James Gore,Aye,2019-0975,Policies With Respect To Pesticides And Integrated Pest Management,2019-06-04,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4603
Lynda Hopkins,Aye,2019-0975,Policies With Respect To Pesticides And Integrated Pest Management,2019-06-04,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4603
Susan Gorin,Aye,2019-0976,"Approve the Appointment of Lorena Barrera to the Commission on the Status of Women for a term of two years, ending July 9, 2021 (Third District).",2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4604
David Rabbitt,Aye,2019-0976,"Approve the Appointment of Lorena Barrera to the Commission on the Status of Women for a term of two years, ending July 9, 2021 (Third District).",2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4604
Shirlee Zane,Aye,2019-0976,"Approve the Appointment of Lorena Barrera to the Commission on the Status of Women for a term of two years, ending July 9, 2021 (Third District).",2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4604
James Gore,Aye,2019-0976,"Approve the Appointment of Lorena Barrera to the Commission on the Status of Women for a term of two years, ending July 9, 2021 (Third District).",2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4604
Lynda Hopkins,Aye,2019-0976,"Approve the Appointment of Lorena Barrera to the Commission on the Status of Women for a term of two years, ending July 9, 2021 (Third District).",2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4604
Susan Gorin,Aye,2019-0977,Potter Valley Project Amended Planning Agreement,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4605
David Rabbitt,Aye,2019-0977,Potter Valley Project Amended Planning Agreement,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4605
Shirlee Zane,Aye,2019-0977,Potter Valley Project Amended Planning Agreement,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4605
James Gore,Aye,2019-0977,Potter Valley Project Amended Planning Agreement,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4605
Lynda Hopkins,Aye,2019-0977,Potter Valley Project Amended Planning Agreement,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4605
Susan Gorin,Aye,2019-0978,Child Care Planning Council of Sonoma County Membership,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4606
David Rabbitt,Aye,2019-0978,Child Care Planning Council of Sonoma County Membership,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4606
Shirlee Zane,Aye,2019-0978,Child Care Planning Council of Sonoma County Membership,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4606
James Gore,Aye,2019-0978,Child Care Planning Council of Sonoma County Membership,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4606
Lynda Hopkins,Aye,2019-0978,Child Care Planning Council of Sonoma County Membership,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4606
Susan Gorin,Aye,2019-0979,Fee Waiver,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4607
David Rabbitt,Aye,2019-0979,Fee Waiver,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4607
Shirlee Zane,Aye,2019-0979,Fee Waiver,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4607
James Gore,Aye,2019-0979,Fee Waiver,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4607
Lynda Hopkins,Aye,2019-0979,Fee Waiver,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4607
Susan Gorin,Aye,2019-0983,Memorandum of Understanding between the County of Sonoma and the Sonoma County Law Enforcement Association,2019-07-23,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4611
David Rabbitt,Aye,2019-0983,Memorandum of Understanding between the County of Sonoma and the Sonoma County Law Enforcement Association,2019-07-23,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4611
Shirlee Zane,Aye,2019-0983,Memorandum of Understanding between the County of Sonoma and the Sonoma County Law Enforcement Association,2019-07-23,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4611
James Gore,Aye,2019-0983,Memorandum of Understanding between the County of Sonoma and the Sonoma County Law Enforcement Association,2019-07-23,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4611
Lynda Hopkins,Aye,2019-0983,Memorandum of Understanding between the County of Sonoma and the Sonoma County Law Enforcement Association,2019-07-23,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4611
Susan Gorin,Aye,2019-0987,"Permit and Resource Management Department:  Review and possible action on the following:
Acts and Determinations of Planning Commission/Board of Zoning Adjustments
Acts and Determinations of Project Review and Advisory Committee
Acts and Determinations of Design Review Committee
Acts and Determinations of Landmarks Commission
Administrative Determinations of the Director of Permit and Resource Management
(All materials related to these actions and determinations can be reviewed at:
http://sonomacounty.ca.gov/PRMD/Boards-Commissions-and-Committees/)",2019-07-23,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4615
David Rabbitt,Aye,2019-0987,"Permit and Resource Management Department:  Review and possible action on the following:
Acts and Determinations of Planning Commission/Board of Zoning Adjustments
Acts and Determinations of Project Review and Advisory Committee
Acts and Determinations of Design Review Committee
Acts and Determinations of Landmarks Commission
Administrative Determinations of the Director of Permit and Resource Management
(All materials related to these actions and determinations can be reviewed at:
http://sonomacounty.ca.gov/PRMD/Boards-Commissions-and-Committees/)",2019-07-23,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4615
Shirlee Zane,Aye,2019-0987,"Permit and Resource Management Department:  Review and possible action on the following:
Acts and Determinations of Planning Commission/Board of Zoning Adjustments
Acts and Determinations of Project Review and Advisory Committee
Acts and Determinations of Design Review Committee
Acts and Determinations of Landmarks Commission
Administrative Determinations of the Director of Permit and Resource Management
(All materials related to these actions and determinations can be reviewed at:
http://sonomacounty.ca.gov/PRMD/Boards-Commissions-and-Committees/)",2019-07-23,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4615
James Gore,Aye,2019-0987,"Permit and Resource Management Department:  Review and possible action on the following:
Acts and Determinations of Planning Commission/Board of Zoning Adjustments
Acts and Determinations of Project Review and Advisory Committee
Acts and Determinations of Design Review Committee
Acts and Determinations of Landmarks Commission
Administrative Determinations of the Director of Permit and Resource Management
(All materials related to these actions and determinations can be reviewed at:
http://sonomacounty.ca.gov/PRMD/Boards-Commissions-and-Committees/)",2019-07-23,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4615
Lynda Hopkins,Aye,2019-0987,"Permit and Resource Management Department:  Review and possible action on the following:
Acts and Determinations of Planning Commission/Board of Zoning Adjustments
Acts and Determinations of Project Review and Advisory Committee
Acts and Determinations of Design Review Committee
Acts and Determinations of Landmarks Commission
Administrative Determinations of the Director of Permit and Resource Management
(All materials related to these actions and determinations can be reviewed at:
http://sonomacounty.ca.gov/PRMD/Boards-Commissions-and-Committees/)",2019-07-23,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4615
Susan Gorin,Aye,2019-0988,Fee Waiver,2019-07-23,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4616
David Rabbitt,Aye,2019-0988,Fee Waiver,2019-07-23,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4616
Shirlee Zane,Aye,2019-0988,Fee Waiver,2019-07-23,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4616
James Gore,Aye,2019-0988,Fee Waiver,2019-07-23,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4616
Lynda Hopkins,Aye,2019-0988,Fee Waiver,2019-07-23,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4616
Susan Gorin,Aye,2019-0990,Receive Report on Required Emergency Work and Make Findings to Extend Emergency Contracting Actions And Waive Competitive Bidding Requirements Pursuant To Public Contract Code Section 22050 Due To The 2019 Winter Storms And Flooding,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4618
David Rabbitt,Aye,2019-0990,Receive Report on Required Emergency Work and Make Findings to Extend Emergency Contracting Actions And Waive Competitive Bidding Requirements Pursuant To Public Contract Code Section 22050 Due To The 2019 Winter Storms And Flooding,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4618
Shirlee Zane,Aye,2019-0990,Receive Report on Required Emergency Work and Make Findings to Extend Emergency Contracting Actions And Waive Competitive Bidding Requirements Pursuant To Public Contract Code Section 22050 Due To The 2019 Winter Storms And Flooding,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4618
James Gore,Aye,2019-0990,Receive Report on Required Emergency Work and Make Findings to Extend Emergency Contracting Actions And Waive Competitive Bidding Requirements Pursuant To Public Contract Code Section 22050 Due To The 2019 Winter Storms And Flooding,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4618
Lynda Hopkins,Aye,2019-0990,Receive Report on Required Emergency Work and Make Findings to Extend Emergency Contracting Actions And Waive Competitive Bidding Requirements Pursuant To Public Contract Code Section 22050 Due To The 2019 Winter Storms And Flooding,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4618
Susan Gorin,Aye,2019-0991,Fee Waiver,2019-08-13,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4619
David Rabbitt,Aye,2019-0991,Fee Waiver,2019-08-13,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4619
Shirlee Zane,Aye,2019-0991,Fee Waiver,2019-08-13,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4619
James Gore,Aye,2019-0991,Fee Waiver,2019-08-13,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4619
Lynda Hopkins,Aye,2019-0991,Fee Waiver,2019-08-13,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4619
Susan Gorin,Aye,2019-0996,FY 2020 SB1 State of Good Repair Grant Program,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4624
David Rabbitt,Aye,2019-0996,FY 2020 SB1 State of Good Repair Grant Program,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4624
Shirlee Zane,Aye,2019-0996,FY 2020 SB1 State of Good Repair Grant Program,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4624
James Gore,Aye,2019-0996,FY 2020 SB1 State of Good Repair Grant Program,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4624
Lynda Hopkins,Aye,2019-0996,FY 2020 SB1 State of Good Repair Grant Program,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4624
Susan Gorin,Aye,2019-0997,Award the construction contract for the Boyes Boulevard Bridge Replacement Project (County Project Number C01147),2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4625
David Rabbitt,Aye,2019-0997,Award the construction contract for the Boyes Boulevard Bridge Replacement Project (County Project Number C01147),2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4625
Shirlee Zane,Aye,2019-0997,Award the construction contract for the Boyes Boulevard Bridge Replacement Project (County Project Number C01147),2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4625
James Gore,Aye,2019-0997,Award the construction contract for the Boyes Boulevard Bridge Replacement Project (County Project Number C01147),2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4625
Lynda Hopkins,Aye,2019-0997,Award the construction contract for the Boyes Boulevard Bridge Replacement Project (County Project Number C01147),2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4625
Susan Gorin,Absent,2019-1000,"Adopt a gold resolution recognizing September 15, 2019 through October 15, 2019 as Latino Heritage Month. (Fifth District)",2019-09-10,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4628
David Rabbitt,Aye,2019-1000,"Adopt a gold resolution recognizing September 15, 2019 through October 15, 2019 as Latino Heritage Month. (Fifth District)",2019-09-10,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4628
Shirlee Zane,Aye,2019-1000,"Adopt a gold resolution recognizing September 15, 2019 through October 15, 2019 as Latino Heritage Month. (Fifth District)",2019-09-10,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4628
James Gore,Absent,2019-1000,"Adopt a gold resolution recognizing September 15, 2019 through October 15, 2019 as Latino Heritage Month. (Fifth District)",2019-09-10,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4628
Lynda Hopkins,Aye,2019-1000,"Adopt a gold resolution recognizing September 15, 2019 through October 15, 2019 as Latino Heritage Month. (Fifth District)",2019-09-10,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4628
Susan Gorin,Aye,2019-1003,Wastewater Hauling Services,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4631
David Rabbitt,Aye,2019-1003,Wastewater Hauling Services,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4631
Shirlee Zane,Aye,2019-1003,Wastewater Hauling Services,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4631
James Gore,Aye,2019-1003,Wastewater Hauling Services,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4631
Lynda Hopkins,Aye,2019-1003,Wastewater Hauling Services,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4631
Susan Gorin,Aye,2019-1005,Engineering and Design Services for Vortex Tube Rehabilitation,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4633
David Rabbitt,Aye,2019-1005,Engineering and Design Services for Vortex Tube Rehabilitation,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4633
Shirlee Zane,Aye,2019-1005,Engineering and Design Services for Vortex Tube Rehabilitation,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4633
James Gore,Aye,2019-1005,Engineering and Design Services for Vortex Tube Rehabilitation,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4633
Lynda Hopkins,Aye,2019-1005,Engineering and Design Services for Vortex Tube Rehabilitation,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4633
Susan Gorin,Aye,2019-1006,Engineering Design of Seismic Retrofit of Secondary Treatment Clarifiers at the Russian River County Sanitation District Wastewater Treatment Plant,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4634
David Rabbitt,Aye,2019-1006,Engineering Design of Seismic Retrofit of Secondary Treatment Clarifiers at the Russian River County Sanitation District Wastewater Treatment Plant,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4634
Shirlee Zane,Aye,2019-1006,Engineering Design of Seismic Retrofit of Secondary Treatment Clarifiers at the Russian River County Sanitation District Wastewater Treatment Plant,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4634
James Gore,Aye,2019-1006,Engineering Design of Seismic Retrofit of Secondary Treatment Clarifiers at the Russian River County Sanitation District Wastewater Treatment Plant,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4634
Lynda Hopkins,Aye,2019-1006,Engineering Design of Seismic Retrofit of Secondary Treatment Clarifiers at the Russian River County Sanitation District Wastewater Treatment Plant,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4634
Susan Gorin,Aye,2019-1008,"Professional Services Agreement with Fire Safe Sonoma, Inc. - Northwest Roadway Safety, Fuels Reduction, and Community Chipper Program and Engagement Project",2019-07-23,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4636
David Rabbitt,Aye,2019-1008,"Professional Services Agreement with Fire Safe Sonoma, Inc. - Northwest Roadway Safety, Fuels Reduction, and Community Chipper Program and Engagement Project",2019-07-23,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4636
Shirlee Zane,Aye,2019-1008,"Professional Services Agreement with Fire Safe Sonoma, Inc. - Northwest Roadway Safety, Fuels Reduction, and Community Chipper Program and Engagement Project",2019-07-23,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4636
James Gore,Aye,2019-1008,"Professional Services Agreement with Fire Safe Sonoma, Inc. - Northwest Roadway Safety, Fuels Reduction, and Community Chipper Program and Engagement Project",2019-07-23,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4636
Lynda Hopkins,Aye,2019-1008,"Professional Services Agreement with Fire Safe Sonoma, Inc. - Northwest Roadway Safety, Fuels Reduction, and Community Chipper Program and Engagement Project",2019-07-23,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4636
Susan Gorin,Aye,2019-1010,Appointment of FY 2019-2020 Sonoma County Tourism Board of Directors Members,2019-07-23,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4638
David Rabbitt,Aye,2019-1010,Appointment of FY 2019-2020 Sonoma County Tourism Board of Directors Members,2019-07-23,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4638
Shirlee Zane,Aye,2019-1010,Appointment of FY 2019-2020 Sonoma County Tourism Board of Directors Members,2019-07-23,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4638
James Gore,Aye,2019-1010,Appointment of FY 2019-2020 Sonoma County Tourism Board of Directors Members,2019-07-23,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4638
Lynda Hopkins,Aye,2019-1010,Appointment of FY 2019-2020 Sonoma County Tourism Board of Directors Members,2019-07-23,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4638
Susan Gorin,Aye,2019-1011,Freestone Underground Utility District No. 1 Boundary Revisions,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4639
David Rabbitt,Aye,2019-1011,Freestone Underground Utility District No. 1 Boundary Revisions,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4639
Shirlee Zane,Aye,2019-1011,Freestone Underground Utility District No. 1 Boundary Revisions,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4639
James Gore,Aye,2019-1011,Freestone Underground Utility District No. 1 Boundary Revisions,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4639
Lynda Hopkins,Aye,2019-1011,Freestone Underground Utility District No. 1 Boundary Revisions,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4639
Susan Gorin,Aye,2019-1014,9:00 A.M. Appeal of a Use Permit approval to allow the Petaluma Hills Farm commercial cannabis cultivation operation at 334 Purvine Road in Petaluma. UPC17-0020,2019-09-30,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4642
David Rabbitt,Nay,2019-1014,9:00 A.M. Appeal of a Use Permit approval to allow the Petaluma Hills Farm commercial cannabis cultivation operation at 334 Purvine Road in Petaluma. UPC17-0020,2019-09-30,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4642
Shirlee Zane,Aye,2019-1014,9:00 A.M. Appeal of a Use Permit approval to allow the Petaluma Hills Farm commercial cannabis cultivation operation at 334 Purvine Road in Petaluma. UPC17-0020,2019-09-30,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4642
James Gore,Aye,2019-1014,9:00 A.M. Appeal of a Use Permit approval to allow the Petaluma Hills Farm commercial cannabis cultivation operation at 334 Purvine Road in Petaluma. UPC17-0020,2019-09-30,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4642
Lynda Hopkins,Aye,2019-1014,9:00 A.M. Appeal of a Use Permit approval to allow the Petaluma Hills Farm commercial cannabis cultivation operation at 334 Purvine Road in Petaluma. UPC17-0020,2019-09-30,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4642
Susan Gorin,Aye,2019-1016,Adopt a Gold Resolution Honoring Zackery Parks for Achieving the Rank of Eagle Scout (Second District).,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4644
David Rabbitt,Aye,2019-1016,Adopt a Gold Resolution Honoring Zackery Parks for Achieving the Rank of Eagle Scout (Second District).,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4644
Shirlee Zane,Aye,2019-1016,Adopt a Gold Resolution Honoring Zackery Parks for Achieving the Rank of Eagle Scout (Second District).,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4644
James Gore,Aye,2019-1016,Adopt a Gold Resolution Honoring Zackery Parks for Achieving the Rank of Eagle Scout (Second District).,2019-07-09,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4644
