Official Name,Filing Year,Filing Type,Schedule,Name of Business Entity or Source,Fair Market Value,Nature of Investment or Interest
James Gore,2018,Annual,C - Income Source,James Gore,{'gte': 100000},Salary
James Gore,2018,Annual,C - Income Source,Elizabeth Gore,{'gte': 100000},Spouse's or registered domestic partner's income
James Gore,2018,Annual,D - Gift,Nielsen Merksamer,$106.34,CSAC Dinner Hosts
James Gore,2018,Annual,D - Gift,Girls & Boys Club Pig Roast,$100,2 Tickets
James Gore,2018,Annual,D - Gift,Farm Bureau Crab Feed,$170.0,2 TICKETS
Lynda Hopkins,2025,Annual,A2 - Private Business Investment,,,
Lynda Hopkins,2025,Annual,B - Real Property,,"$100,001 - $1,000,000",Ownership/Deed of Trust
Lynda Hopkins,2025,Annual,C - Income Source,Climate and Community Project,{'gte': 100000},Spouse's or registered domestic partner's income
Lynda Hopkins,2024,Annual,A2 - Private Business Investment,,,
Lynda Hopkins,2024,Annual,B - Real Property,,"$100,001 - $1,000,000",Ownership/Deed of Trust
Lynda Hopkins,2024,Annual,C - Income Source,Climate and Community Project,{'gte': 100000},Spouse's or registered domestic partner's income
Lynda Hopkins,2024,Annual,D - Gift,Alliance Redwoods,$109,Zipline tour meeting
Lynda Hopkins,2024,Annual,D - Gift,Hap Sakwa,$500,Wood heart sculpture
Lynda Hopkins,2020,Annual,C - Income Source,LandPaths,"$10,001 - $100,000",Spouse's or registered domestic partner's income
Lynda Hopkins,2023,Annual,A2 - Private Business Investment,,,
Lynda Hopkins,2023,Annual,C - Income Source,Climate and Community Project,{'gte': 100000},Spouse's or registered domestic partner's income
Lynda Hopkins,2023,Candidate,C - Income Source,Climate & Community Project,{'gte': 100000},Spouse's or registered domestic partner's income
Lynda Hopkins,2023,Candidate,A2 - Private Business Investment,,,
Lynda Hopkins,2022,Annual,A2 - Private Business Investment,,,
Lynda Hopkins,2022,Annual,C - Income Source,Climate Mobilization Project,"$10,001 - $100,000",Spouse's or registered domestic partner's income
Lynda Hopkins,2022,Annual,D - Gift,First 5,$55,Los Cien ticket donation
Lynda Hopkins,2022,Annual,A2 - Private Business Investment,,,
Lynda Hopkins,2022,Annual,C - Income Source,Climate Mobilization Project,"$10,001 - $100,000",Spouse's or registered domestic partner's income
Lynda Hopkins,2022,Annual,D - Gift,First 5,$55,Los Cien Ticket donation
Lynda Hopkins,2021,Annual,A2 - Private Business Investment,,,
Lynda Hopkins,2021,Annual,C - Income Source,Climate Mobilization Project,"$10,001 - $100,000",Spouse's or registered domestic partner's income
Lynda Hopkins,2021,Annual,A2 - Private Business Investment,,,
Lynda Hopkins,2021,Annual,C - Income Source,Climate Mobilization Project,"$10,001 - $100,000",Spouse's or registered domestic partner's income
Lynda Hopkins,2020,Annual,A2 - Private Business Investment,,,
Lynda Hopkins,2020,Annual,A2 - Private Business Investment,,,
Lynda Hopkins,2019,Annual,A2 - Private Business Investment,,,
Lynda Hopkins,2019,Annual,C - Income Source,Landpaths,"$10,001 - $100,000",Spouse's or registered domestic partner's income
Lynda Hopkins,2019,Annual,D - Gift,Richard Ogg,$110.0,2 Event Tickets
Lynda Hopkins,2019,Annual,D - Gift,Judy Jordan,$95.0,Event Ticket
Lynda Hopkins,2019,Annual,D - Gift,Caryl Hart,$187.5,Event Ticket
Lynda Hopkins,2019,Annual,D - Gift,Herman J. Hernandez,$50.0,Event Ticket
Lynda Hopkins,2019,Annual,D - Gift,Michael Hart,$187.5,Event Ticket
Lynda Hopkins,2018,Annual,A2 - Private Business Investment,,,
Lynda Hopkins,2018,Annual,C - Income Source,Landpaths,"$10,001 - $100,000",Spouse's or registered domestic partner's income
Lynda Hopkins,2018,Annual,D - Gift,Tito Sasaki,$170.0,event tickets
Lynda Hopkins,2018,Annual,D - Gift,Janet Sasaki,$175.0,event tickets
Lynda Hopkins,2018,Annual,D - Gift,Barbara Grasseschi & Tony Crabb,$250.0,event ticket
Lynda Hopkins,2018,Annual,D - Gift,Robert Janover,$448.5,Posters
